term, translatable, anchor
"French", ' in English', https://gramps-project.org/wiki/index.php/Gramps_Glossary/fr#
"français", ' natively', https://gramps-project.org/wiki/index.php/User_manual_translations#Enabled
"Langues", '_("Languages")', https://gramps-project.org/wiki/index.php/Portal:Translators
"Personne active", '_("Active Person")', active_person
"Module complémentaire", '_("Addon")', addon
"Module complémentaire", '_("Add-on")', addon
"Adresse", '_("Address")', address
"Division administrative", '_("administrative division")', administrative_division
"Aide", '_("Aide")', aide
"Personne principale", '_("Home Person")', home_person
"Catégorie", '_("Category")', category
